dgp,delta,n,method,coverage,coverage_accuracy,avg_width,median_width,valid_reps
Heavy_Tails,1.0,500,Sandwich_HC4,0.964,0.014000000000000012,0.10283868612980292,0.08894170137132368,500
Heavy_Tails,1.0,500,AKS_Adaptive,0.972,0.02200000000000002,0.10571666178926457,0.09141143771239724,500
Heavy_Tails,1.0,500,AMRI_v1,0.972,0.02200000000000002,0.1052928206291528,0.09000088667558998,500
Heavy_Tails,1.0,500,AMRI_v2,0.96,0.010000000000000009,0.10177375787935392,0.08752439471073592,500
Nonlinear,0.0,100,Naive_OLS,0.942,0.008000000000000007,0.40047211322340354,0.3986620139307244,500
Nonlinear,0.0,100,Sandwich_HC3,0.938,0.01200000000000001,0.4061686196038372,0.40121766050199387,500
Nonlinear,0.0,100,Sandwich_HC4,0.952,0.0020000000000000018,0.4407988236863246,0.4318901321865573,500
Nonlinear,0.0,100,AKS_Adaptive,0.94,0.010000000000000009,0.39903800254232213,0.39644679364341934,500
Nonlinear,0.0,100,AMRI_v1,0.946,0.0040000000000000036,0.4082251685912395,0.4021657655897912,500
Nonlinear,0.0,100,AMRI_v2,0.944,0.006000000000000005,0.4077822814232285,0.4034615549733865,500
Nonlinear,0.0,500,Naive_OLS,0.966,0.016000000000000014,0.1764161796557554,0.17649646122846957,500
Nonlinear,0.0,500,Sandwich_HC3,0.964,0.014000000000000012,0.17628179249343878,0.17587570913611172,500
Nonlinear,0.0,500,Sandwich_HC4,0.964,0.014000000000000012,0.17889145044649804,0.17846123291043514,500
Nonlinear,0.0,500,AKS_Adaptive,0.964,0.014000000000000012,0.1762448981384034,0.17623720828082262,500
Nonlinear,0.0,500,AMRI_v1,0.964,0.014000000000000012,0.17750166074520898,0.17695311299394256,500
Nonlinear,0.0,500,AMRI_v2,0.962,0.01200000000000001,0.1768433479577742,0.1766660704150968,500
Nonlinear,0.5,100,Naive_OLS,0.814,0.136,0.48438082718969305,0.484302844974212,500
Nonlinear,0.5,100,Sandwich_HC3,0.942,0.008000000000000007,0.7193018861252897,0.6942849104507764,500
Nonlinear,0.5,100,Sandwich_HC4,0.968,0.018000000000000016,0.8676140628121711,0.8103397139569162,500
Nonlinear,0.5,100,AKS_Adaptive,0.912,0.03799999999999992,0.6667126949072012,0.6425522682995732,500
Nonlinear,0.5,100,AMRI_v1,0.954,0.0040000000000000036,0.7558243380839993,0.7377877333904594,500
Nonlinear,0.5,100,AMRI_v2,0.944,0.006000000000000005,0.724804974276323,0.70265498418139,500
Nonlinear,0.5,500,Naive_OLS,0.828,0.122,0.21489204502015583,0.21519931911421225,500
Nonlinear,0.5,500,Sandwich_HC3,0.94,0.010000000000000009,0.3242878412879518,0.3187264206423149,500
Nonlinear,0.5,500,Sandwich_HC4,0.944,0.006000000000000005,0.33714763586707436,0.3298960979472898,500
Nonlinear,0.5,500,AKS_Adaptive,0.932,0.017999999999999905,0.31380657551328095,0.3080585418862881,500
Nonlinear,0.5,500,AMRI_v1,0.952,0.0020000000000000018,0.3413317882021079,0.33547806995482493,500
Nonlinear,0.5,500,AMRI_v2,0.94,0.010000000000000009,0.32507789352581706,0.31950292376649986,500
Nonlinear,1.0,100,Naive_OLS,0.716,0.23399999999999999,0.674379612759532,0.6713907328971445,500
Nonlinear,1.0,100,Sandwich_HC3,0.938,0.01200000000000001,1.249345976336872,1.195874310812558,500
Nonlinear,1.0,100,Sandwich_HC4,0.97,0.020000000000000018,1.5506298019681741,1.4397165474909415,500
Nonlinear,1.0,100,AKS_Adaptive,0.928,0.02199999999999991,1.1921204615655365,1.1396740156616794,500
Nonlinear,1.0,100,AMRI_v1,0.956,0.006000000000000005,1.3279559485252947,1.2713663881683805,500
Nonlinear,1.0,100,AMRI_v2,0.944,0.006000000000000005,1.2649241165923644,1.2108251315889338,500
Nonlinear,1.0,500,Naive_OLS,0.712,0.238,0.3024981236924842,0.302150209036208,500
Nonlinear,1.0,500,Sandwich_HC3,0.946,0.0040000000000000036,0.5726357540981849,0.5630473404003205,500
Nonlinear,1.0,500,Sandwich_HC4,0.956,0.006000000000000005,0.5992617366043083,0.5866657846777812,500
Nonlinear,1.0,500,AKS_Adaptive,0.94,0.010000000000000009,0.5615983870151149,0.5518466570490903,500
Nonlinear,1.0,500,AMRI_v1,0.958,0.008000000000000007,0.6027323909478252,0.5926400286177571,500
Nonlinear,1.0,500,AMRI_v2,0.946,0.0040000000000000036,0.5740308485217382,0.5644190748740543,500
