dgp,category,n,delta,valid_reps,cov_naive,cov_robust,cov_amri,width_naive,width_robust,width_amri,avg_weight,pct_full_robust,pct_full_naive
Poisson_overdispersed,Poisson,300,1.0,1000,0.742,0.957,0.957,0.17353973494994207,0.2911390655621011,0.2911390655621011,1.0,1.0,0.0
Poisson_overdispersed,Poisson,1000,0.0,1000,0.946,0.943,0.943,0.09461079632359319,0.09512403397581776,0.09509049062350389,0.3220637185818169,0.195,0.501
Poisson_overdispersed,Poisson,1000,0.25,1000,0.882,0.939,0.939,0.09466472253443217,0.11590063638776252,0.11589509397377844,0.998787110864166,0.997,0.0
Poisson_overdispersed,Poisson,1000,0.5,1000,0.825,0.941,0.941,0.0945271182946252,0.13276633196560872,0.13276633196560872,1.0,1.0,0.0
Poisson_overdispersed,Poisson,1000,0.75,1000,0.775,0.941,0.941,0.09477962877460755,0.14944382751664037,0.14944382751664037,1.0,1.0,0.0
Poisson_overdispersed,Poisson,1000,1.0,1000,0.733,0.943,0.943,0.09446048966527133,0.16356678330153926,0.16356678330153926,1.0,1.0,0.0
Poisson_zero_infl,Poisson,100,0.0,1000,0.95,0.932,0.94,0.30409654331429903,0.2927398804110986,0.29680190888115254,0.2851188470987425,0.142,0.517
Poisson_zero_infl,Poisson,100,0.25,1000,0.902,0.936,0.931,0.3505830786464958,0.4107147838557876,0.39866668843055286,0.4964149376157564,0.34,0.331
Poisson_zero_infl,Poisson,100,0.5,1000,0.833,0.92,0.914,0.4330432053630968,0.5805163856786789,0.57285121933529,0.824076548559769,0.713,0.082
Poisson_zero_infl,Poisson,100,0.75,1000,0.774,0.902,0.9,0.619916495851486,0.9029070050513515,0.8951333887013052,0.8488299462111447,0.774,0.076
Poisson_zero_infl,Poisson,300,0.0,1000,0.953,0.949,0.954,0.1734933094341198,0.1711801300719859,0.17205194010818473,0.2843202487441995,0.134,0.541
Poisson_zero_infl,Poisson,300,0.25,1000,0.869,0.927,0.927,0.20100603203892323,0.24361085318712397,0.24224134902329092,0.8894491316284037,0.814,0.048
Poisson_zero_infl,Poisson,300,0.5,1000,0.822,0.943,0.943,0.24693888865388786,0.3435718502049638,0.3435572909046193,0.9993774739095144,0.998,0.0
Poisson_zero_infl,Poisson,300,0.75,1000,0.782,0.941,0.941,0.34851030605911526,0.5356987190274054,0.535606029689952,0.9960648494072213,0.992,0.001
Poisson_zero_infl,Poisson,1000,0.0,1000,0.959,0.956,0.956,0.09446846588208214,0.0940991828780424,0.09433908626758095,0.3030566759386601,0.165,0.499
Poisson_zero_infl,Poisson,1000,0.25,1000,0.886,0.948,0.948,0.10927770473061167,0.13375058132385953,0.13374550739697333,0.9990342893734054,0.998,0.0
Poisson_zero_infl,Poisson,1000,0.5,1000,0.849,0.956,0.956,0.13375019169599528,0.18955451513796368,0.18955451513796368,1.0,1.0,0.0
Poisson_zero_infl,Poisson,1000,0.75,1000,0.796,0.939,0.939,0.19026792214404428,0.3001552425179319,0.3001552425179319,1.0,1.0,0.0
