dgp,delta,n,method,B_total,B_valid,coverage,coverage_mc_se,avg_width,median_width,bias,rmse,se_mean,theta_true,avg_weight,pct_full_robust,pct_full_naive
DGP3_heteroscedastic,0.0,500,AMRI,2000,2000,0.954,0.004684,0.176862,0.175925,0.000165,0.044131,0.045009,1.0,,,
DGP3_heteroscedastic,0.0,500,AMRI_v2,2000,2000,0.9535,0.004708,0.176373,0.175866,0.000165,0.044131,0.044885,1.0,0.1579,0.0505,0.681
DGP3_heteroscedastic,0.0,1000,AMRI,2000,2000,0.9385,0.005372,0.124593,0.124164,0.000445,0.032447,0.031746,1.0,,,
DGP3_heteroscedastic,0.0,1000,AMRI_v2,2000,2000,0.939,0.005352,0.12434,0.124173,0.000445,0.032447,0.031681,1.0,0.148,0.043,0.687
DGP3_heteroscedastic,0.0,5000,AMRI,2000,2000,0.9385,0.005372,0.055632,0.055525,-0.000136,0.014584,0.014189,1.0,,,
DGP3_heteroscedastic,0.0,5000,AMRI_v2,2000,2000,0.938,0.005392,0.055501,0.055489,-0.000136,0.014584,0.014155,1.0,0.155,0.0465,0.6755
DGP3_heteroscedastic,0.25,50,AMRI,2000,2000,0.94,0.00531,0.611722,0.590124,0.001901,0.15258,0.152122,1.0,,,
DGP3_heteroscedastic,0.25,50,AMRI_v2,2000,2000,0.9385,0.005372,0.609793,0.592075,0.001901,0.15258,0.151642,1.0,0.1912,0.0825,0.6555
DGP3_heteroscedastic,0.25,100,AMRI,2000,2000,0.947,0.00501,0.419055,0.40885,0.001973,0.104554,0.105584,1.0,,,
DGP3_heteroscedastic,0.25,100,AMRI_v2,2000,2000,0.9475,0.004987,0.418165,0.410682,0.001973,0.104554,0.105359,1.0,0.2022,0.0865,0.6205
DGP3_heteroscedastic,0.25,250,AMRI,2000,2000,0.9415,0.005248,0.259995,0.254991,0.000911,0.067188,0.066003,1.0,,,
DGP3_heteroscedastic,0.25,250,AMRI_v2,2000,2000,0.9425,0.005205,0.259648,0.256736,0.000911,0.067188,0.065915,1.0,0.2332,0.113,0.596
DGP3_heteroscedastic,0.25,500,AMRI,2000,2000,0.955,0.004635,0.18291,0.179806,0.000198,0.046123,0.046548,1.0,,,
DGP3_heteroscedastic,0.25,500,AMRI_v2,2000,2000,0.9535,0.004708,0.182622,0.181095,0.000198,0.046123,0.046475,1.0,0.259,0.13,0.5665
DGP3_heteroscedastic,0.25,1000,AMRI,2000,2000,0.944,0.005141,0.129783,0.127267,0.000279,0.033671,0.033068,1.0,,,
DGP3_heteroscedastic,0.25,1000,AMRI_v2,2000,2000,0.941,0.005269,0.128992,0.128146,0.000279,0.033671,0.032867,1.0,0.3342,0.2,0.4925
DGP3_heteroscedastic,0.25,5000,AMRI,2000,2000,0.952,0.00478,0.05934,0.060309,-0.000253,0.0151,0.015134,1.0,,,
DGP3_heteroscedastic,0.25,5000,AMRI_v2,2000,2000,0.95,0.004873,0.057918,0.057882,-0.000253,0.0151,0.014772,1.0,0.6937,0.541,0.169
DGP3_heteroscedastic,0.5,50,AMRI,2000,2000,0.9375,0.005413,0.675127,0.627545,0.001543,0.171372,0.167889,1.0,,,
DGP3_heteroscedastic,0.5,50,AMRI_v2,2000,2000,0.9375,0.005413,0.671037,0.635032,0.001543,0.171372,0.166872,1.0,0.2774,0.1645,0.568
DGP3_heteroscedastic,0.5,100,AMRI,2000,2000,0.944,0.005141,0.467966,0.438019,0.002104,0.118263,0.117907,1.0,,,
DGP3_heteroscedastic,0.5,100,AMRI_v2,2000,2000,0.943,0.005184,0.464773,0.445362,0.002104,0.118263,0.117103,1.0,0.3541,0.226,0.484
DGP3_heteroscedastic,0.5,250,AMRI,2000,2000,0.942,0.005227,0.296207,0.278803,0.001635,0.076547,0.075196,1.0,,,
DGP3_heteroscedastic,0.5,250,AMRI_v2,2000,2000,0.939,0.005352,0.292337,0.283654,0.001635,0.076547,0.074213,1.0,0.5189,0.381,0.325
